source,translation,reference,bleu,rouge1_f,rouge2_f,rougeL_f,meteor
Cái gì đó?,What's that?,What is it?,19.716118825581447,0.3333333333333333,0.0,0.3333333333333333,0.25
Con nghĩ chúng ta nên đến mái ấm.,I think we should go to the home.,I thought we would go to the children's home.,21.721856265678966,0.6666666666666665,0.25,0.6666666666666665,0.5876795162509448
Có điều gì cô muốn nói với chồng mình không?,Is there anything you want to tell your husband?,Is there something you want to tell your husband?,70.71067811865478,0.8888888888888888,0.75,0.8888888888888888,0.8950617283950617
"Thầy của ngươi muốn săn chúng ta, thiêu chúng ta, ăn tim chúng ta.","Your master wants to hunt us, burn us, eat our hearts.","Your master wants to hunt us, burn us, eat our hearts.",100.00000000000004,1.0,1.0,1.0,0.9998177842565598
Haylàkẻ yếuđuối?,Or the weak?,Or too weak to see this through?,7.733712583165139,0.4,0.0,0.4,0.19736842105263158
OK.,OK.,OK.,100.00000000000004,1.0,0.0,1.0,0.9375
Chỗ còn lại được để trong một lồng kính ngắm cảnh trên đỉnh toà nhà.,The rest of it was placed in a view glass cage at the top of the building.,The rest are kept in a secure glass viewing boot at the top of the tower.,27.098211583470043,0.6666666666666667,0.38709677419354843,0.6060606060606061,0.6578947368421053
"Không, tôi không có.","No, I don't.","No, I haven't.",42.7287006396234,0.75,0.3333333333333333,0.75,0.8066666666666668
Đừng có chạm vào người tôi!,Don't touch me!,Don't touch me.,59.460355750136046,1.0,1.0,1.0,0.7937500000000002
Xin mời.,Please.,Come in.,30.326532985631665,0.0,0.0,0.0,0.17241379310344826
Bự không tưởng được luôn.,I can't even imagine.,"We're talking Falkor in ""The Neverending Story.""",3.9297526283216277,0.0,0.0,0.0,0.04761904761904762
Anh ta là một kỹ sư.,He's an engineer.,- He's an engineer.,77.88007830714052,1.0,1.0,1.0,0.8440677966101694
"♫ Mặt nhìn mặt, Chân chạm chân. ♫","Face to face, foot to foot","Face to face, Toe to toe",43.47208719449914,0.6666666666666666,0.4000000000000001,0.6666666666666666,0.6914285714285714
"Chúng tôi có số điện thoại, chúng tôi cần 1 địa chỉ Tôi nhớ là anh có 1 văn phòng thám tử của mình đúng không?","We've got a number. We need an address. I remember you have a detective's office, right?","Basically, we have a phone number that we need to get an address from, and I remember that you used to run your own detective agency or something?",4.452641886003546,0.5217391304347826,0.1818181818181818,0.4782608695652174,0.40007382798080476
- Nhiệm vụ đã hoàn thành rồi. - Không. Nhiệm vụ của anh đã hoàn thành.,Your mission is complete.,Your job is finished.,14.058533129758727,0.5,0.0,0.5,0.3
"Thông minh đấy, Nikki.","That's smart, Nikki.","Smart, Nikki.",39.76353643835254,0.6666666666666666,0.5,0.6666666666666666,0.9449404761904763
họ chỉ cố cứu một người bạn thân.,They're just trying to save a close friend.,They're trying to save the life of a dear friend.,19.437571020720103,0.7000000000000001,0.33333333333333326,0.7000000000000001,0.635593220338983
"Có, người biên tập sách cho Megan Vernoff.","Yes, the book editor for Megan Vernoff.","Yeah, a book doctor for Megan Vernoff.",33.03164318013807,0.5714285714285714,0.3333333333333333,0.5714285714285714,0.625
Tôi sẽ gọi bác sĩ.,I'll call a doctor.,- I'll get the doctor up here.,7.715486568024961,0.5,0.2,0.5,0.3627873563218391
Tại sao cứ phải nhắc lại nó?,Why do you have to repeat it?,Why dwell on it?,12.223075560872525,0.36363636363636365,0.0,0.36363636363636365,0.48218029350104813
Chàng trai ngoan lắm.,Good boy.,You're a good lad.,14.127216461522432,0.28571428571428575,0.0,0.28571428571428575,0.17543859649122806
Chắc rồi.,Sure.,Sure.,100.00000000000004,1.0,0.0,1.0,0.9375
Chào Cindy.,"Hello, Cindy.","- [Mans Voice] Hello, Cindy.",28.650479686019022,0.6666666666666666,0.5,0.6666666666666666,0.46691176470588236
Tôi đang cố bảo vệ chuyến tàu của anh.,I'm trying to protect your train.,I'm trying to protect your train.,100.00000000000004,1.0,1.0,1.0,0.9990234375
Tôi chỉ biết là ở đây ông không được an toàn.,All I know is you're not safe here.,"Hey, all I know is you're not safe here anymore.",53.78454936756791,0.9,0.888888888888889,0.9,0.7842519685039371
Chúng ta không cần phải than khóc những người sẽ hy sinh hôm nay.,We don't have to mourn those who are going to die today.,We mustn't mourn those who give their lives today.,15.133218633429316,0.5217391304347826,0.1904761904761905,0.5217391304347826,0.6784660766961653
"Chúng ta không phải là những kẻ sát nhân, mặc kệ bọn nhà đòn nói gì.","We're not murderers, no matter what the undertakers say.","We're not murderers, in spite of what this undertaker says.",23.708987804092644,0.6666666666666666,0.4210526315789474,0.6666666666666666,0.6847545219638242
Và nụ cười của mẹ.,And my smile.,And her smile.,35.35533905932737,0.6666666666666666,0.0,0.6666666666666666,0.6388888888888888
Nhưng vẫn còn cách để ả Nữ hoàng này chuộc tội,But there is still a way for this queen to atone for her sins.,"But still, there is a way for this deluded Queen to find some redemption.",20.79617953215787,0.7142857142857143,0.38461538461538464,0.6428571428571429,0.5587608503560476
Đặc vụ Ward có cho cô biết gì không?,Did Agent Ward tell you anything?,Coulson: Did agent Ward give you anything?,20.873176328735713,0.7692307692307692,0.5454545454545454,0.7692307692307692,0.6691919191919192
