source,translation,reference,bleu,rouge1_f,rouge2_f,rougeL_f,meteor,rouge_details
họ đã từ chối để được soạn thảo.,They refused to be prepared.,They refused to be drafted.,53.7284965911771,0.8000000000000002,0.75,0.8000000000000002,0.8066666666666668,"{'rouge1': Score(precision=0.8, recall=0.8, fmeasure=0.8000000000000002), 'rouge2': Score(precision=0.75, recall=0.75, fmeasure=0.75), 'rougeL': Score(precision=0.8, recall=0.8, fmeasure=0.8000000000000002)}"
Tom sẽ không ở đây vào ngày mai. tôi đảm bảo với bạn rằng,Tom won't be here tomorrow. I assure you that,Tom won't be here tomorrow. I guarantee you that much.,57.89300674674101,0.8571428571428572,0.7368421052631577,0.8571428571428572,0.7562500000000001,"{'rouge1': Score(precision=0.9, recall=0.8181818181818182, fmeasure=0.8571428571428572), 'rouge2': Score(precision=0.7777777777777778, recall=0.7, fmeasure=0.7368421052631577), 'rougeL': Score(precision=0.9, recall=0.8181818181818182, fmeasure=0.8571428571428572)}"
"trong những lúc như thế này, tất cả chúng ta nên kéo lại với nhau.","In times like this, we should all pull back together.","In times like this, we should all pull together.",76.91605673134588,0.9473684210526316,0.823529411764706,0.9473684210526316,0.9880128061946244,"{'rouge1': Score(precision=0.9, recall=1.0, fmeasure=0.9473684210526316), 'rouge2': Score(precision=0.7777777777777778, recall=0.875, fmeasure=0.823529411764706), 'rougeL': Score(precision=0.9, recall=1.0, fmeasure=0.9473684210526316)}"
anh ấy sẽ phản đối việc bạn ra nước ngoài,He will object to your going abroad,He will object to your going abroad.,86.6877899750182,1.0,1.0,1.0,0.884784293464221,"{'rouge1': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rouge2': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rougeL': Score(precision=1.0, recall=1.0, fmeasure=1.0)}"
chúng tôi sẽ quay lại sớm nhất có thể,We'll be back as soon as we can,We'll be back as soon as possible.,68.037493331712,0.823529411764706,0.7999999999999999,0.823529411764706,0.7687074829931974,"{'rouge1': Score(precision=0.7777777777777778, recall=0.875, fmeasure=0.823529411764706), 'rouge2': Score(precision=0.75, recall=0.8571428571428571, fmeasure=0.7999999999999999), 'rougeL': Score(precision=0.7777777777777778, recall=0.875, fmeasure=0.823529411764706)}"
Hãy đi xem cuộc diễu hành Phục sinh,Let's go see the Easter parade,Let's go and watch the Easter parade,32.159351091190125,0.7999999999999999,0.6153846153846153,0.7999999999999999,0.8757427021441488,"{'rouge1': Score(precision=0.8571428571428571, recall=0.75, fmeasure=0.7999999999999999), 'rouge2': Score(precision=0.6666666666666666, recall=0.5714285714285714, fmeasure=0.6153846153846153), 'rougeL': Score(precision=0.8571428571428571, recall=0.75, fmeasure=0.7999999999999999)}"
anh ấy rất có năng khiếu và tài năng,He is very talented and talented,He was very gifted and talented,19.304869754804482,0.6666666666666666,0.20000000000000004,0.6666666666666666,0.8066666666666668,"{'rouge1': Score(precision=0.6666666666666666, recall=0.6666666666666666, fmeasure=0.6666666666666666), 'rouge2': Score(precision=0.2, recall=0.2, fmeasure=0.20000000000000004), 'rougeL': Score(precision=0.6666666666666666, recall=0.6666666666666666, fmeasure=0.6666666666666666)}"
một ballboy hay ballgirl giỏi phải có khả năng tập trung cao độ và chạy nhanh.,A good ballboy or ballgirl must be able to concentrate high and fast.,A good ballboy or ballgirl must be able to concentrate hard and run fast.,69.07970600740104,0.888888888888889,0.7199999999999999,0.888888888888889,0.8671220364560581,"{'rouge1': Score(precision=0.9230769230769231, recall=0.8571428571428571, fmeasure=0.888888888888889), 'rouge2': Score(precision=0.75, recall=0.6923076923076923, fmeasure=0.7199999999999999), 'rougeL': Score(precision=0.9230769230769231, recall=0.8571428571428571, fmeasure=0.888888888888889)}"
anh ta rất thích những bí ẩn giết người.,He likes murder mysteries very much.,He has a morbid fondness for murder mysteries.,11.737849637633069,0.42857142857142855,0.16666666666666666,0.42857142857142855,0.35866477272727276,"{'rouge1': Score(precision=0.5, recall=0.375, fmeasure=0.42857142857142855), 'rouge2': Score(precision=0.2, recall=0.14285714285714285, fmeasure=0.16666666666666666), 'rougeL': Score(precision=0.5, recall=0.375, fmeasure=0.42857142857142855)}"
bạn đang ở đâu vậy,Where are you?,"Where are you, Tom?",38.75385825373298,0.8571428571428571,0.8,0.8571428571428571,0.6465517241379309,"{'rouge1': Score(precision=1.0, recall=0.75, fmeasure=0.8571428571428571), 'rouge2': Score(precision=1.0, recall=0.6666666666666666, fmeasure=0.8), 'rougeL': Score(precision=1.0, recall=0.75, fmeasure=0.8571428571428571)}"
tôi cảm thấy tôi phải xuống tàu.,I felt I had to get off the train.,I felt I just had to get off the ship.,48.959148327580515,0.8421052631578948,0.7058823529411765,0.8421052631578948,0.8103975535168196,"{'rouge1': Score(precision=0.8888888888888888, recall=0.8, fmeasure=0.8421052631578948), 'rouge2': Score(precision=0.75, recall=0.6666666666666666, fmeasure=0.7058823529411765), 'rougeL': Score(precision=0.8888888888888888, recall=0.8, fmeasure=0.8421052631578948)}"
tôi không thể thấy những gì đang xảy ra.,I can't see what's happening.,I can't see what's happening.,100.00000000000004,1.0,1.0,1.0,0.9990234375,"{'rouge1': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rouge2': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rougeL': Score(precision=1.0, recall=1.0, fmeasure=1.0)}"
