source,translation,reference,bleu,rouge1_f,rouge2_f,rougeL_f,meteor,rouge_details
tôi nghe nói rằng vì tom không khỏe nên hôm nay anh ấy sẽ không đến trường,I heard he's not going to school today because he's not feeling well.,I heard that since Tom isn't feeling well he won't come to school today,15.537125692760354,0.5161290322580646,0.2758620689655172,0.38709677419354843,0.46875,"{'rouge1': Score(precision=0.5333333333333333, recall=0.5, fmeasure=0.5161290322580646), 'rouge2': Score(precision=0.2857142857142857, recall=0.26666666666666666, fmeasure=0.2758620689655172), 'rougeL': Score(precision=0.4, recall=0.375, fmeasure=0.38709677419354843)}"
hiệu thuốc nằm trên đường fresno,The pharmacy's on the fresno road.,The pharmacy is on Fresno Street,7.809849842300641,0.6153846153846153,0.1818181818181818,0.6153846153846153,0.32258064516129037,"{'rouge1': Score(precision=0.5714285714285714, recall=0.6666666666666666, fmeasure=0.6153846153846153), 'rouge2': Score(precision=0.16666666666666666, recall=0.2, fmeasure=0.1818181818181818), 'rougeL': Score(precision=0.5714285714285714, recall=0.6666666666666666, fmeasure=0.6153846153846153)}"
Tôi không còn sống với anh ấy nữa.,I don't live with him anymore.,I'm not living with him anymore.,41.11336169005198,0.7142857142857143,0.5,0.7142857142857143,0.7361111111111112,"{'rouge1': Score(precision=0.7142857142857143, recall=0.7142857142857143, fmeasure=0.7142857142857143), 'rouge2': Score(precision=0.5, recall=0.5, fmeasure=0.5), 'rougeL': Score(precision=0.7142857142857143, recall=0.7142857142857143, fmeasure=0.7142857142857143)}"
tôi sẽ xem những gì chúng ta cần mang theo,I'll see what we can carry.,I'll see what else we need to bring,22.772101321113862,0.6250000000000001,0.42857142857142855,0.6250000000000001,0.5438202247191011,"{'rouge1': Score(precision=0.7142857142857143, recall=0.5555555555555556, fmeasure=0.6250000000000001), 'rouge2': Score(precision=0.5, recall=0.375, fmeasure=0.42857142857142855), 'rougeL': Score(precision=0.7142857142857143, recall=0.5555555555555556, fmeasure=0.6250000000000001)}"
tom chạy một trăm mét trong mười hai giây.,run a hundred meters in twelve seconds.,Tom ran a hundred meters in twelve seconds.,74.20884818558928,0.7999999999999999,0.7692307692307692,0.7999999999999999,0.7853703279064436,"{'rouge1': Score(precision=0.8571428571428571, recall=0.75, fmeasure=0.7999999999999999), 'rouge2': Score(precision=0.8333333333333334, recall=0.7142857142857143, fmeasure=0.7692307692307692), 'rougeL': Score(precision=0.8571428571428571, recall=0.75, fmeasure=0.7999999999999999)}"
Nhật Bản đã phát động một cuộc xâm lược mới của Trung Quốc vào tháng 7 năm 1937,Japan launched a new Chinese invasion in July 1937,"Japan launched a new invasion of China in July, 1937",30.541450699432374,0.8421052631578948,0.5882352941176471,0.8421052631578948,0.6944444444444444,"{'rouge1': Score(precision=0.8888888888888888, recall=0.8, fmeasure=0.8421052631578948), 'rouge2': Score(precision=0.625, recall=0.5555555555555556, fmeasure=0.5882352941176471), 'rougeL': Score(precision=0.8888888888888888, recall=0.8, fmeasure=0.8421052631578948)}"
vé này là tốt trong hai tuần.,This ticket is good for two weeks.,This ticket is good for two weeks.,100.00000000000004,1.0,1.0,1.0,0.9990234375,"{'rouge1': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rouge2': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rougeL': Score(precision=1.0, recall=1.0, fmeasure=1.0)}"
Tom muốn chết.,Tom wants to die.,Tom wants to die.,100.00000000000004,1.0,1.0,1.0,0.996,"{'rouge1': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rouge2': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rougeL': Score(precision=1.0, recall=1.0, fmeasure=1.0)}"
Tôi không xử lý sự cô đơn tốt.,I don't handle being alone well.,I don't handle loneliness well.,30.739407647563215,0.7692307692307692,0.5454545454545454,0.7692307692307692,0.8294209702660407,"{'rouge1': Score(precision=0.7142857142857143, recall=0.8333333333333334, fmeasure=0.7692307692307692), 'rouge2': Score(precision=0.5, recall=0.6, fmeasure=0.5454545454545454), 'rougeL': Score(precision=0.7142857142857143, recall=0.8333333333333334, fmeasure=0.7692307692307692)}"
bạn không thể nhìn thấy mt. fuji từ đây.,You can't see a fuji from here.,You can't see Mt. Fuji from here.,30.509752160562897,0.875,0.7142857142857143,0.875,0.8017676767676769,"{'rouge1': Score(precision=0.875, recall=0.875, fmeasure=0.875), 'rouge2': Score(precision=0.7142857142857143, recall=0.7142857142857143, fmeasure=0.7142857142857143), 'rougeL': Score(precision=0.875, recall=0.875, fmeasure=0.875)}"
