source,translation,reference,bleu,rouge1_f,rouge2_f,rougeL_f,meteor,rouge_details
They refused to be drafted.,Họ từ chối nhập ngũ .,họ đã từ chối để được soạn thảo.,10.89644800332157,0.5,0.42857142857142855,0.5,0.3627873563218391,"{'rouge1': Score(precision=0.5714285714285714, recall=0.4444444444444444, fmeasure=0.5), 'rouge2': Score(precision=0.5, recall=0.375, fmeasure=0.42857142857142855), 'rougeL': Score(precision=0.5714285714285714, recall=0.4444444444444444, fmeasure=0.5)}"
Tom won't be here tomorrow. I guarantee you that much.,Tom sẽ không ở đây vào ngày mai . Tôi đảm bảo với các bạn điều đó .,Tom sẽ không ở đây vào ngày mai. tôi đảm bảo với bạn rằng,53.989956849868726,0.8636363636363636,0.8095238095238095,0.8636363636363636,0.9043617446978792,"{'rouge1': Score(precision=0.8260869565217391, recall=0.9047619047619048, fmeasure=0.8636363636363636), 'rouge2': Score(precision=0.7727272727272727, recall=0.85, fmeasure=0.8095238095238095), 'rougeL': Score(precision=0.8260869565217391, recall=0.9047619047619048, fmeasure=0.8636363636363636)}"
"In times like this, we should all pull together.","Trong những lúc như thế này , tất cả chúng ta nên tập trung lại với nhau .","trong những lúc như thế này, tất cả chúng ta nên kéo lại với nhau.",71.60350546947924,0.8979591836734694,0.851063829787234,0.8979591836734694,0.9347587719298245,"{'rouge1': Score(precision=0.88, recall=0.9166666666666666, fmeasure=0.8979591836734694), 'rouge2': Score(precision=0.8333333333333334, recall=0.8695652173913043, fmeasure=0.851063829787234), 'rougeL': Score(precision=0.88, recall=0.9166666666666666, fmeasure=0.8979591836734694)}"
He will object to your going abroad.,Ông ấy sẽ phản đối việc bạn đi ra nước ngoài .,anh ấy sẽ phản đối việc bạn ra nước ngoài,53.107253497886994,0.9032258064516129,0.8275862068965518,0.9032258064516129,0.8775114984265312,"{'rouge1': Score(precision=0.875, recall=0.9333333333333333, fmeasure=0.9032258064516129), 'rouge2': Score(precision=0.8, recall=0.8571428571428571, fmeasure=0.8275862068965518), 'rougeL': Score(precision=0.875, recall=0.9333333333333333, fmeasure=0.9032258064516129)}"
We'll be back as soon as possible.,Chúng tôi sẽ quay lại càng sớm càng tốt .,chúng tôi sẽ quay lại sớm nhất có thể,27.77619034011791,0.7999999999999999,0.5714285714285715,0.7333333333333334,0.647130647130647,"{'rouge1': Score(precision=0.75, recall=0.8571428571428571, fmeasure=0.7999999999999999), 'rouge2': Score(precision=0.5333333333333333, recall=0.6153846153846154, fmeasure=0.5714285714285715), 'rougeL': Score(precision=0.6875, recall=0.7857142857142857, fmeasure=0.7333333333333334)}"
Let's go and watch the Easter parade,Hãy đi và xem diễu hành Phục Sinh .,Hãy đi xem cuộc diễu hành Phục sinh,23.356898886410015,0.8799999999999999,0.6956521739130435,0.8799999999999999,0.8301839254220206,"{'rouge1': Score(precision=0.9166666666666666, recall=0.8461538461538461, fmeasure=0.8799999999999999), 'rouge2': Score(precision=0.7272727272727273, recall=0.6666666666666666, fmeasure=0.6956521739130435), 'rougeL': Score(precision=0.9166666666666666, recall=0.8461538461538461, fmeasure=0.8799999999999999)}"
He was very gifted and talented,Anh ấy rất tài năng và tài năng .,anh ấy rất có năng khiếu và tài năng,23.356898886410015,0.8148148148148148,0.64,0.8148148148148148,0.7471655328798186,"{'rouge1': Score(precision=0.8461538461538461, recall=0.7857142857142857, fmeasure=0.8148148148148148), 'rouge2': Score(precision=0.6666666666666666, recall=0.6153846153846154, fmeasure=0.64), 'rougeL': Score(precision=0.8461538461538461, recall=0.7857142857142857, fmeasure=0.8148148148148148)}"
A good ballboy or ballgirl must be able to concentrate hard and run fast.,Một cầu thủ giỏi hoặc một cô gái chơi bóng phải có khả năng tập trung và chạy thật nhanh .,một ballboy hay ballgirl giỏi phải có khả năng tập trung cao độ và chạy nhanh.,28.94318255795983,0.6296296296296297,0.4615384615384615,0.6296296296296297,0.6647110472541509,"{'rouge1': Score(precision=0.5151515151515151, recall=0.8095238095238095, fmeasure=0.6296296296296297), 'rouge2': Score(precision=0.375, recall=0.6, fmeasure=0.4615384615384615), 'rougeL': Score(precision=0.5151515151515151, recall=0.8095238095238095, fmeasure=0.6296296296296297)}"
He has a morbid fondness for murder mysteries.,Anh ta yêu thích những bí ẩn giết người một cách không lành mạnh .,anh ta rất thích những bí ẩn giết người.,34.79159475128448,0.6842105263157894,0.5555555555555555,0.631578947368421,0.8412698412698414,"{'rouge1': Score(precision=0.5416666666666666, recall=0.9285714285714286, fmeasure=0.6842105263157894), 'rouge2': Score(precision=0.43478260869565216, recall=0.7692307692307693, fmeasure=0.5555555555555555), 'rougeL': Score(precision=0.5, recall=0.8571428571428571, fmeasure=0.631578947368421)}"
"Where are you, Tom?","Anh đang ở đâu , Tom ?",bạn đang ở đâu vậy,24.446151121745054,0.4,0.25,0.4,0.5662393162393162,"{'rouge1': Score(precision=0.5, recall=0.3333333333333333, fmeasure=0.4), 'rouge2': Score(precision=0.3333333333333333, recall=0.2, fmeasure=0.25), 'rougeL': Score(precision=0.5, recall=0.3333333333333333, fmeasure=0.4)}"
