source,translation,reference,bleu,rouge1_f,rouge2_f,rougeL_f,meteor,rouge_details
chutist,Comment lý lý lý lý lý lý lý tài / lý, danh từ|- (vt của parachutist) lính nhảy dù,0.0,0.09090909090909091,0.0,0.09090909090909091,0.0,"{'rouge1': Score(precision=0.09090909090909091, recall=0.09090909090909091, fmeasure=0.09090909090909091), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.09090909090909091, recall=0.09090909090909091, fmeasure=0.09090909090909091)}"
em,nhóm, danh từ|- (thông tục) (viết tắt) của them,0.0,0.0,0.0,0.0,0.0,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
gainst,khuyên mười đôi ba mười ba mười đôi đôi, giới từ|- (thơ ca) (như) against,0.0,0.1,0.0,0.1,0.0,"{'rouge1': Score(precision=0.07692307692307693, recall=0.14285714285714285, fmeasure=0.1), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.07692307692307693, recall=0.14285714285714285, fmeasure=0.1)}"
ll,& tr đơn đơn đơn tr đơn đơn đơn tr đơn đơn đơn tr đơn đơn đơn trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ trụ,(vt của will),0.0,0.0,0.0,0.0,0.0,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
shun,Chính:,interj|- ((viết tắt) của attention) nghiêm!,0.0,0.0,0.0,0.0,0.0,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
tec,_:,xem tec,0.0,0.0,0.0,0.0,0.0,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0, recall=0, fmeasure=0)}"
tis,m___ tối_________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________,(vt của it is),0.0,0.0,0.0,0.0,0.0,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
twas,Không có,(vt của it was),0.0,0.0,0.0,0.0,0.0,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
tween,T..., giới từ|- (vt của between),0.0,0.25,0.0,0.25,0.0,"{'rouge1': Score(precision=1.0, recall=0.14285714285714285, fmeasure=0.25), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=1.0, recall=0.14285714285714285, fmeasure=0.25)}"
twere,Đã có đôi,(vt của it were),0.0,0.0,0.0,0.0,0.0,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
